"Colonia","Población total","Porcentaje de población masculina","Porcentaje de población femenina","Porcentaje de población de 0 a 14 años","Porcentaje de población de 15 a 64 años","Porcentaje de población de 65 y más años","Porcentaje de población no especificada","Fecundidad promedio","Porcentaje de población con discapacidad","Población Económicamente Activa","Población Económicamente Activa masculina","Población Económicamente Activa femenina","Población Ocupada","Población Ocupada masculina","Población Ocupada femenina","Población Desocupada","Derechohabiencia","Hogares","Ocupación por Vivienda","Viviendas con Electricidad","Viviendas con Agua","Viviendas con Drenaje","Viviendas con Televisión","Viviendas con Automóvil","Viviendas con Computadora","Total Actividades Económicas","Primer actividad nombre","Primer actividad porcentaje","Segunda actividad nombre","Segunda actividad porcentaje","Tercera actividad nombre","Tercera actividad porcentaje","Cuarta actividad nombre","Cuarta actividad porcentaje","Quinta actividad nombre","Quinta actividad porcentaje"
"Abastos",3790,48.35,51.65,25.44,64.69,9.05,0.82,2.72,8.48,53.7,64.1,35.9,87.13,62.57,37.43,12.87,68.46,989,3.83,99.93,99.93,99.93,98.41,39.16,26.1,159,"Comercio Menudeo",45.28,"Otros servicios, excepto Gobierno",18.24,"Preparación de Alimentos y Bebidas",9.43,"Industria Manufacturera",6.29,"Salud",4.4
"Aeropuerto",237,51.05,48.95,34.6,62.45,2.95,0,1.38,0.99,55.81,62.5,37.5,90.98,59.09,40.91,9.02,77.22,64,3.7,100,100,100,98.44,68.75,50,2,"Comercio Menudeo",50,"Preparación de Alimentos y Bebidas",50,,,,,,
"Aeropuerto Internacional Francisco Sarabia Tinoco",1,47.93,52.07,29.3,67.43,2.65,0.62,1.62,1.54,52.34,63.54,36.46,96.17,62.78,37.22,3.83,73.47,0,,,,,,,,35,"Transportes, Correo, Almacenamiento",28.57,"Inmobiliarios",20,"Comercio Menudeo",14.29,"Gubernamentales",14.29,"Comercio Mayoreo",8.57
"Alamedas",7044,48.18,51.82,21.54,69.28,8.66,0.52,2.37,7.55,49.92,63.47,36.53,93.62,62.75,37.25,6.38,77.61,1850,3.81,99.84,99.35,99.68,99.62,57.98,41.97,122,"Comercio Menudeo",45.9,"Otros servicios, excepto Gobierno",19.67,"Preparación de Alimentos y Bebidas",18.03,"Educativos",4.92,"Salud",3.28
"Amistad",4466,49.31,50.69,34.62,62.32,1.39,1.67,1.68,3.8,60.75,60.82,39.18,93.09,60.72,39.28,6.91,78.55,1268,3.52,99.87,99.87,99.95,99.48,57.38,40.94,57,"Comercio Menudeo",50.88,"Otros servicios, excepto Gobierno",14.04,"Preparación de Alimentos y Bebidas",14.04,"Industria Manufacturera",5.26,"Salud",3.51
"Ampliación Fovissste La Rosita",541,49.06,50.94,19.16,73.75,5.41,1.68,1.8,3.32,57.17,50.65,49.35,95.06,50.67,49.33,4.94,81.71,160,3.38,100,100,100,97.13,70.17,68.23,5,"Comercio Menudeo",40,"Preparación de Alimentos y Bebidas",40,"Otros servicios, excepto Gobierno",20,,,,
"Ampliación Fuentes",2298,49.74,50.26,30.37,64.11,4.97,0.55,2.25,4.32,55.79,66.39,33.61,87.07,65.41,34.59,12.93,59.65,559,4.11,99.13,99.12,99.48,96.97,52.09,30.36,55,"Comercio Menudeo",29.09,"Otros servicios, excepto Gobierno",20,"Industria Manufacturera",18.18,"Inmobiliarios",10.91,"Preparación de Alimentos y Bebidas",10.91
"Ampliación La Rosita",3434,48.22,51.78,14.53,76.93,6.09,2.45,1.67,2.45,55.96,59.22,40.78,94.68,58.95,41.05,5.32,77.88,934,3.68,99.97,99.54,99.65,99.65,95.42,86.92,163,"Comercio Menudeo",30.67,"Preparación de Alimentos y Bebidas",14.11,"Educativos",11.66,"Otros servicios, excepto Gobierno",11.66,"Salud",7.36
"Ampliación Las Julietas",1017,50.54,49.46,32.74,61.46,4.03,1.77,2.32,2.16,54.97,69.68,30.32,89.85,67.39,32.61,10.15,61.55,250,4.07,99.2,98.4,96.8,98,53.6,27.86,18,"Comercio Menudeo",27.78,"Otros servicios, excepto Gobierno",27.78,"Preparación de Alimentos y Bebidas",16.67,"Industria Manufacturera",11.11,"Profesionales, Científicos, Técnicos",5.56
"Ampliación Las Margaritas",1833,46.26,53.74,16.04,65.68,10.09,8.19,1.87,6.84,48.95,55.06,44.94,91.79,54.95,45.05,8.21,73.38,467,3.93,99.57,99.79,99.79,99.36,76.66,65.31,115,"Comercio Menudeo",35.65,"Otros servicios, excepto Gobierno",22.61,"Preparación de Alimentos y Bebidas",9.57,"Salud",5.22,"Educativos",3.48
"Ampliación Lázaro Cardenas",2755,48.46,51.54,27.22,67.59,4.65,0.54,2,13.92,52.43,64.85,35.15,93.87,64.02,35.98,6.13,72.99,699,3.94,99.71,99.28,99.71,98,60.28,44.43,64,"Comercio Menudeo",43.75,"Otros servicios, excepto Gobierno",20.31,"Preparación de Alimentos y Bebidas",12.5,"Educativos",9.38,"Industria Manufacturera",4.69
"Ampliación Leandro Rovirosa Wade",1792,47.6,52.4,31.75,63.5,3.07,1.68,1.51,5.36,62.99,55.83,44.17,97.02,56.2,43.8,2.98,75.84,527,3.4,99.81,98.86,98.67,99.24,81.05,68.65,7,"Comercio Menudeo",42.86,"Otros servicios, excepto Gobierno",42.86,"Manejo de Residuos",14.29,,,,
"Ampliación Los Ángeles",4908,46.18,53.82,12.97,59.15,18.29,9.59,2.04,7.9,47.94,57.97,42.03,95.25,58.03,41.97,4.75,69.67,1352,3.63,99.87,99.35,99.87,99.35,85.85,69.97,301,"Comercio Menudeo",20.27,"Otros servicios, excepto Gobierno",15.95,"Profesionales, Científicos, Técnicos",8.97,"Salud",7.64,"Comercio Mayoreo",6.98
"Ampliación Los Nogales",1460,47.12,52.88,19.38,66.58,11.16,2.88,1.95,12.12,48.79,60.55,39.45,95.71,60.64,39.36,4.29,75.07,450,3.24,100,98.44,98.89,99.33,83.11,58.89,34,"Comercio Menudeo",32.35,"Otros servicios, excepto Gobierno",17.65,"Salud",11.76,"Preparación de Alimentos y Bebidas",8.82,"Industria Manufacturera",8.82
"Ampliación Nueva Merced",2179,50.07,49.93,33.83,61.99,3.34,0.84,2.39,4.84,54.65,69.06,30.94,87.11,69.55,30.45,12.89,61.71,497,4.38,98.89,97.87,95.02,95.43,34.73,13.02,37,"Comercio Menudeo",48.65,"Otros servicios, excepto Gobierno",24.32,"Industria Manufacturera",8.11,"Salud",5.41,"Educativos",5.41
"Ampliación San Ignacio",242,49.59,50.41,32.64,64.88,2.48,0,1.87,1.87,60.45,60.75,39.25,81.66,63.33,36.67,18.34,82.23,70,3.46,100,100,100,100,61.43,40,12,"Comercio Mayoreo",33.33,"Industria Manufacturera",25,"Minería",8.33,"Manejo de Residuos",8.33,"Otros servicios, excepto Gobierno",8.33
"Ampliación Santiago Ramírez",3511,49.4,50.6,32.93,62.38,4.32,0.37,2.51,10.83,52.08,70.46,29.54,88.53,69.64,30.36,11.47,62.09,844,4.16,99.66,98.83,97.4,98.23,36.98,14.61,86,"Comercio Menudeo",47.67,"Otros servicios, excepto Gobierno",19.77,"Preparación de Alimentos y Bebidas",9.3,"Industria Manufacturera",8.14,"Salud",4.65
"Ampliación Sección 38",152,47.37,52.63,30.92,64.47,4.61,0,1.88,0,52.25,58.62,41.38,100,58.62,41.38,0,87.5,37,4.11,100,100,100,100,97.3,91.89,5,"Salud",40,"Educativos",40,"Inmobiliarios",20,,,,
"Ampliación Senderos",125,45.46,54.54,25.7,54.19,3.27,16.84,1.6,1.56,72.72,56.2,43.8,99.83,56.15,43.85,0.17,70.46,35,3.57,100,100,100,100,93.79,79,5,"Comercio Menudeo",40,"Salud",20,"Otros servicios, excepto Gobierno",20,"Preparación de Alimentos y Bebidas",20,,
"Ampliación Valles del Nazas",1776,49.66,50.34,36.83,58.15,2.82,2.2,1.91,1.7,56.48,66.15,33.85,92.12,64.95,35.05,7.88,79.79,468,3.79,100,100,100,98.96,59.76,44.8,44,"Comercio Menudeo",54.55,"Preparación de Alimentos y Bebidas",15.91,"Otros servicios, excepto Gobierno",11.36,"Financieros y Seguros",4.55,"Industria Manufacturera",4.55
"Ampliación Zaragoza Sur",7071,50.79,49.21,39.96,57.25,2.42,0.37,2.48,2.9,52.8,74.55,25.45,90.35,73.76,26.24,9.65,62.81,1859,3.8,99.37,41.97,78.39,92.96,34.95,13.8,128,"Comercio Menudeo",58.59,"Otros servicios, excepto Gobierno",16.41,"Preparación de Alimentos y Bebidas",10.16,"Industria Manufacturera",8.59,"Educativos",3.12
"Ana",1753,49.34,50.66,18.08,60.47,13.58,7.87,2.34,7.95,52.12,62.55,37.45,86.68,61.78,38.22,13.32,61.61,467,3.75,99.57,99.57,99.57,98.07,38.97,34.05,90,"Comercio Menudeo",26.67,"Otros servicios, excepto Gobierno",20,"Preparación de Alimentos y Bebidas",18.89,"Industria Manufacturera",16.67,"Comercio Mayoreo",4.44
"Angeles Residencial - Rincón Aurora",438,47.95,52.05,20.78,74.66,1.83,2.73,1.45,1.4,57.02,50.25,49.75,94.83,51.81,48.19,5.17,85.84,121,3.62,100,100,100,98.35,95.04,91.74,3,"Salud",33.33,"Comercio Menudeo",33.33,"Industria Manufacturera",33.33,,,,
"Anna",4877,48.48,51.52,37.34,59.23,2.12,1.31,1.85,1.52,59.98,65.3,34.7,94.67,64.81,35.19,5.33,75.03,1262,3.86,99.75,99.67,99.51,99.2,50.72,25.26,83,"Comercio Menudeo",53.01,"Otros servicios, excepto Gobierno",10.84,"Preparación de Alimentos y Bebidas",9.64,"Salud",8.43,"Educativos",4.82
"Antigua Aceitera",2463,49.61,50.39,22.9,63.03,10.01,4.06,2.46,4.11,53.33,65.39,34.61,86.97,64.25,35.75,13.03,59.57,570,4.32,99.03,98.51,98.68,97.8,31.32,25.15,74,"Comercio Menudeo",52.7,"Preparación de Alimentos y Bebidas",13.51,"Transportes, Correo, Almacenamiento",12.16,"Otros servicios, excepto Gobierno",6.76,"Educativos",4.05
"Antigua Estación del Ferrocarril",24,50,50,25,58.33,16.67,0,2.5,0,60,50,50,57.14,37.5,62.5,42.86,54.17,7,3.43,100,100,100,100,28.97,42.86,2,"Salud",50,"Esparcimiento, Culturales, Deportivos",50,,,,,,
"Aquiles Serdán",1823,47.83,52.17,27.59,63.47,8.78,0.16,2.5,9.35,52.65,63,37,89.27,60.77,39.23,10.73,64.29,484,3.77,99.59,98.35,98.76,96.07,27.17,20.6,43,"Comercio Menudeo",44.19,"Industria Manufacturera",16.28,"Otros servicios, excepto Gobierno",13.95,"Preparación de Alimentos y Bebidas",11.63,"Salud",4.65
"Aviación",4587,49.88,50.12,28.38,64.66,6.44,0.52,2.56,4.28,53.46,68.28,31.72,92.01,66.76,33.24,7.99,66.56,1082,4.24,99.85,99.02,99.67,97.91,43.61,21.2,208,"Comercio Menudeo",37.5,"Otros servicios, excepto Gobierno",22.6,"Industria Manufacturera",14.42,"Preparación de Alimentos y Bebidas",10.58,"Manejo de Residuos",3.85
"Aviación San Ignacio",890,48.53,51.47,34.71,63.36,1.59,0.34,1.76,2.22,58.83,63.02,36.98,96.11,63.25,36.75,3.89,76.73,239,3.72,99.85,100,100,99.01,74.09,54.15,20,"Comercio Menudeo",45,"Otros servicios, excepto Gobierno",30,"Preparación de Alimentos y Bebidas",10,"Educativos",5,"Profesionales, Científicos, Técnicos",5
"Aviación San Ignacio 2° Etapa",302,52.98,47.02,40.07,58.61,0.33,0.99,1.7,1.3,54.04,69.16,30.84,95.11,67.65,32.35,4.89,77.48,80,3.78,100,100,100,100,72.5,54.29,0,,,,,,,,,,
"Bella Vista",737,48.98,51.02,28.22,64.86,6.11,0.81,2.47,6.94,57.04,62.65,37.35,91.69,61.54,38.46,8.31,69.47,190,3.88,100,99.47,100,98.42,45.06,24.84,18,"Comercio Menudeo",55.56,"Otros servicios, excepto Gobierno",16.67,"Salud",5.56,"Manejo de Residuos",5.56,"Preparación de Alimentos y Bebidas",5.56
"Bocanegra",1439,48.99,51.01,26.89,64.21,8.41,0.49,2.63,3.4,57.04,63.77,36.23,91.28,62.82,37.18,8.72,63.93,366,3.93,99.45,98.91,100,98.63,46.51,25.28,87,"Otros servicios, excepto Gobierno",35.63,"Comercio Menudeo",22.99,"Preparación de Alimentos y Bebidas",12.64,"Industria Manufacturera",12.64,"Salud",3.45
"Braulio Fernández Aguirre",3194,50.8,49.2,28.9,62.57,8.13,0.4,2.82,13.15,49.61,69.87,30.13,86.2,68.26,31.74,13.8,69.19,813,3.93,99.97,99.6,99.73,97.38,37.63,19.02,104,"Comercio Menudeo",37.5,"Otros servicios, excepto Gobierno",18.27,"Preparación de Alimentos y Bebidas",17.31,"Industria Manufacturera",12.5,"Educativos",5.77
"Britania",392,49.49,50.51,25.51,70.15,4.34,0,1.86,5.4,58.18,58.92,41.08,95.49,58.19,41.81,4.51,81.38,117,3.35,100,100,100,98.29,71.79,52.99,3,"Comercio Menudeo",66.67,"Salud",33.33,,,,,,
"Buenos Aires",238,45.66,54.34,29.81,67.09,3.1,0,2.12,1.87,53.47,74.06,25.94,93.2,73.43,26.57,6.8,74.9,62,3.84,100,99.12,99.19,100,25.82,14.33,2,"Comercio Menudeo",100,,,,,,,,
"Bugambilias",450,49.78,50.22,20,68.89,11.11,0,2.46,5.55,54.42,60.59,39.41,85.58,57.06,42.94,14.42,68.67,126,3.57,100,99.21,100,99.21,55.56,50,23,"Comercio Menudeo",21.74,"Otros servicios, excepto Gobierno",17.39,"Industria Manufacturera",17.39,"Educativos",8.7,"Profesionales, Científicos, Técnicos",8.7
"Caleras Martínez",840,50.3,49.7,27.18,64.48,8.34,0,2.68,10.33,47.05,79.41,20.59,87.1,77.45,22.55,12.9,57.63,214,3.93,99.18,91.23,99.18,96.84,28.28,13.36,11,"Comercio Menudeo",81.82,"Educativos",18.18,,,,,,
"Caleras Solares",823,49.45,50.55,28.43,62.09,9.48,0,2.95,14.36,50.4,66.04,33.96,90.79,64.6,35.4,9.21,53.34,219,3.76,99.54,94.98,99.09,96.35,20.37,9.45,13,"Comercio Menudeo",92.31,"Preparación de Alimentos y Bebidas",7.69,,,,,,
"Camilo Torres",878,46.94,53.06,28.89,66.89,4.21,0.01,2.42,3.03,54.12,69.99,30.01,94.94,69.35,30.65,5.06,72.44,227,3.87,99.86,94.44,97.13,98.96,20.38,2.56,21,"Comercio Menudeo",66.67,"Preparación de Alimentos y Bebidas",23.81,"Gubernamentales",4.76,"Educativos",4.76,,
"Campiñas de Iberia",116,51.72,48.28,37.93,62.07,0,0,1.45,0,60.26,63.83,36.17,97.83,63.04,36.96,2.17,73.28,33,3.52,100,100,100,100,96.97,93.94,33,"Preparación de Alimentos y Bebidas",33.33,"Comercio Menudeo",15.15,"Educativos",12.12,"Otros servicios, excepto Gobierno",9.09,"Salud",6.06
"Campo Militar",324,53.4,46.6,37.04,62.65,0.31,0,1.69,0.93,47.98,91.59,8.41,99.06,91.51,8.49,0.94,99.69,96,3.38,97.92,97.92,97.92,97.92,63.54,53.12,9,"Comercio Menudeo",44.44,"Gubernamentales",22.22,"Inmobiliarios",11.11,"Preparación de Alimentos y Bebidas",11.11,"Transportes, Correo, Almacenamiento",11.11
"Campo Nuevo Zaragoza",3934,49.52,50.48,38.99,57.55,1.78,1.68,1.81,2.12,58.82,65.16,34.84,91.22,64.18,35.82,8.78,80.25,1013,3.88,99.9,99.51,99.8,99.11,65.35,42.48,86,"Comercio Menudeo",50,"Preparación de Alimentos y Bebidas",17.44,"Otros servicios, excepto Gobierno",13.95,"Industria Manufacturera",6.98,"Educativos",4.65
"Campo Nuevo Zaragoza 2° Etapa",2695,49.53,50.47,39.2,59.38,1.18,0.24,1.72,2.56,63.81,63.43,36.57,94.01,62.75,37.25,5.99,79.38,744,3.62,99.78,98.17,99.78,98.84,64.01,35.09,36,"Comercio Menudeo",38.89,"Otros servicios, excepto Gobierno",22.22,"Preparación de Alimentos y Bebidas",16.67,"Educativos",8.33,"Salud",5.56
"Carmen Romano",3405,49.6,50.4,28.19,66.46,4.96,0.39,2.47,6.59,57.93,66.38,33.62,90.72,65.4,34.6,9.28,63.73,876,3.89,99.54,99.2,98.86,97.49,37.67,24.72,99,"Comercio Menudeo",47.47,"Otros servicios, excepto Gobierno",19.19,"Industria Manufacturera",14.14,"Preparación de Alimentos y Bebidas",7.07,"Educativos",5.05
"Carolinas",5694,47.93,52.07,23.92,64.86,9.06,2.16,2.57,3.16,53.65,63.82,36.18,84.57,62.51,37.49,15.43,63.52,1520,3.75,99.94,99.75,99.55,98.56,44.27,29.12,151,"Comercio Menudeo",40.4,"Otros servicios, excepto Gobierno",21.85,"Preparación de Alimentos y Bebidas",12.58,"Salud",7.95,"Educativos",5.3
"Casa Blanca",742,46.5,53.5,21.97,71.83,5.8,0.4,1.59,1.49,51.22,58.1,41.9,97.4,57.65,42.35,2.6,83.15,204,3.64,100,100,100,100,93.63,85.8,17,"Comercio Menudeo",35.29,"Otros servicios, excepto Gobierno",17.65,"Salud",11.76,"Inmobiliarios",11.76,"Educativos",11.76
"Cementerio Municipal",0,,,,,,,,,,,,,,,,,0,,,,,,,,1,"Otros servicios, excepto Gobierno",100,,,,,,,,
"Cementos Mexicanos",0,,,,,,,,,,,,,,,,,0,,,,,,,,1,"Industria Manufacturera",100,,,,,,,,
"Cerrada Las Flores I y II",876,48.97,51.03,34.13,63.81,1.71,0.35,1.71,3.93,60.28,63.8,36.2,94.23,63.64,36.36,5.77,85.39,237,3.7,100,100,100,99.58,75.53,62.45,9,"Comercio Menudeo",66.67,"Preparación de Alimentos y Bebidas",22.22,"Comercio Mayoreo",11.11,,,,
"Cerradas Esmeralda - Montebello",156,48.72,51.28,30.36,67.95,1.55,0.14,1.63,0.63,64.35,51.35,48.65,100,51.35,48.65,0,82.05,42,3.71,100,100,100,100,100,92.86,0,,,,,,,,,,
"Cerradas Villas Diamante",109,51.38,48.62,27.52,69.72,0,2.76,1.44,0,67.5,61.11,38.89,96.16,61.54,38.46,3.84,83.49,29,3.76,96.55,96.55,96.55,96.55,86.21,82.76,0,,,,,,,,,,
"Cerro de La Cruz",2766,49.39,50.61,28.92,61.93,8.97,0.18,2.68,12.54,50.31,68.29,31.71,93.94,67.36,32.64,6.06,63.67,696,3.97,99.43,98.71,99.57,97.41,23.76,17.8,35,"Comercio Menudeo",54.29,"Otros servicios, excepto Gobierno",14.29,"Preparación de Alimentos y Bebidas",8.57,"Salud",5.71,"Educativos",5.71
"Chapultepec",338,45.86,54.14,34.62,63.02,1.48,0.88,1.45,1.69,65.67,57.84,42.16,94.5,57.81,42.19,5.5,84.62,95,3.56,100,100,100,100,95.79,78.19,11,"Comercio Menudeo",27.27,"Inmobiliarios",18.18,"Otros servicios, excepto Gobierno",18.18,"Esparcimiento, Culturales, Deportivos",18.18,"Financieros y Seguros",9.09
"Cipreses",61,57.38,42.62,32.79,57.38,0,9.83,1.81,0,71.43,64,36,100,64,36,0,77.05,16,3.81,100,100,100,100,100,100,0,,,,,,,,,,
"Ciudad Industrial",2,42.38,57.62,27.34,64.45,5.78,2.43,1.67,10.17,59.58,53.57,46.43,100,53.57,46.43,0,93.22,0,,,,,,,,266,"Industria Manufacturera",30.45,"Comercio Mayoreo",26.32,"Transportes, Correo, Almacenamiento",11.28,"Comercio Menudeo",10.53,"Preparación de Alimentos y Bebidas",7.89
"Ciudad Nazas Polígono 24",2558,48.94,51.06,37.8,60.44,0.82,0.94,1.81,1.53,58.6,64.73,35.27,92.97,63.82,36.18,7.03,77.48,683,3.75,99.71,99.71,99.71,98.68,58.57,36.16,29,"Comercio Menudeo",51.72,"Otros servicios, excepto Gobierno",20.69,"Educativos",10.34,"Preparación de Alimentos y Bebidas",6.9,"Salud",3.45
"Ciudad Nazas Polígono 24A",655,50.84,49.16,38.78,59.69,1.53,0,2.05,3.75,53.93,70,30,93.36,68.89,31.11,6.64,71.45,162,4.04,100,99.38,100,99.38,50.62,27.64,8,"Comercio Menudeo",50,"Manejo de Residuos",12.5,"Otros servicios, excepto Gobierno",12.5,"Preparación de Alimentos y Bebidas",12.5,"Industria Manufacturera",12.5
"Ciudad Nazas Polígono 27",2082,48.32,51.68,36.41,61.91,1.25,0.43,1.84,1.35,51.78,66.02,33.98,92.36,64.8,35.2,7.64,75.79,521,4,100,99.42,99.04,99.04,54.7,36.47,39,"Otros servicios, excepto Gobierno",30.77,"Comercio Menudeo",28.21,"Preparación de Alimentos y Bebidas",23.08,"Industria Manufacturera",7.69,"Inmobiliarios",2.56
"Ciudad Nazas Polígono 30",2395,48.52,51.48,35.28,61.75,2.71,0.26,1.83,1.54,54.88,60.99,39.01,93.41,59.98,40.02,6.59,76.7,602,3.98,100,99.67,100,98.34,52.49,39.62,57,"Comercio Menudeo",40.35,"Preparación de Alimentos y Bebidas",15.79,"Otros servicios, excepto Gobierno",14.04,"Educativos",12.28,"Industria Manufacturera",7.02
"Ciudad Universitaria",0,,,,,,,,,,,,,,,,,0,,,,,,,,16,"Educativos",43.75,"Preparación de Alimentos y Bebidas",31.25,"Manejo de Residuos",12.5,"Información Medios Masivos",6.25,"Gubernamentales",6.25
"Club Campestre Montebello",164,49.39,50.61,25,67.68,1.83,5.49,1.74,4.42,49.61,57.14,42.86,98.39,56.45,43.55,1.61,81.1,36,4.56,100,97.22,97.22,97.22,97.22,94.44,3,"Inmobiliarios",33.33,"Preparación de Alimentos y Bebidas",33.33,"Esparcimiento, Culturales, Deportivos",33.33,,,,
"Club de Golf Los Azulejos",34,47.06,52.94,17.65,79.41,2.94,0,1.69,0,35.48,90.91,9.09,100,90.91,9.09,0,58.82,8,4.25,100,100,100,100,52.46,0,3,"Comercio Menudeo",66.67,"Comercio Mayoreo",33.33,,,,,,
"Compresora",1144,49.06,50.94,23.9,66.62,9.48,0,2.53,7.17,50.4,66.87,33.13,89.78,65.15,34.85,10.22,66.33,288,3.97,100,100,100,98.71,26.77,21.2,15,"Comercio Menudeo",60,"Industria Manufacturera",20,"Educativos",6.67,"Otros servicios, excepto Gobierno",6.67,"Esparcimiento, Culturales, Deportivos",6.67
"Conjunto Oyamel",0,,,,,,,,,,,,,,,,,0,,,,,,,,3,"Comercio Menudeo",100,,,,,,,,
"Constancia",1110,48.91,51.09,24.64,64.76,10.6,0,2.64,19.17,52.16,63.83,36.17,92.46,62.45,37.55,7.54,59.33,308,3.6,99.89,99.9,99.9,96.64,34.58,21.78,49,"Comercio Menudeo",40.82,"Otros servicios, excepto Gobierno",20.41,"Preparación de Alimentos y Bebidas",10.2,"Industria Manufacturera",10.2,"Comercio Mayoreo",6.12
"Cuarto de Cobián (Centro)",11116,45.86,54.14,17.37,64.34,15.91,2.38,2.21,5.97,51.42,56.63,43.37,91.39,56.21,43.79,8.61,72.18,3374,3.29,99.49,99.22,99.01,98.03,63.02,46.39,1175,"Comercio Menudeo",26.72,"Otros servicios, excepto Gobierno",19.83,"Preparación de Alimentos y Bebidas",13.02,"Industria Manufacturera",9.87,"Comercio Mayoreo",7.06
"Cuca Orona",0,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
"Dalia",139,46.76,53.24,33.81,66.19,0,0,1.66,4.51,60.61,70,30,92.89,67.86,32.14,7.11,87.77,37,3.76,100,100,100,100,72.97,37.84,4,"Comercio Menudeo",50,"Financieros y Seguros",25,"Preparación de Alimentos y Bebidas",25,,,,
"Diana María Galindo",399,51.01,48.99,34.51,60.82,3.09,1.58,2.59,1.82,60.22,72.54,27.46,91.49,72.82,27.18,8.51,58.39,90,4.43,100,99.82,95.34,96.45,18.07,2.19,3,"Comercio Menudeo",100,,,,,,,,
"División del Norte",4773,49.55,50.45,30.78,64.25,4.91,0.06,2.64,6.21,55.99,69.3,30.7,84.36,67.11,32.89,15.64,65.49,1122,4.25,99.73,99.28,98.57,97.77,37.91,20.37,110,"Comercio Menudeo",40,"Otros servicios, excepto Gobierno",29.09,"Preparación de Alimentos y Bebidas",10.91,"Industria Manufacturera",5.45,"Financieros y Seguros",3.64
"Durangueña",996,48.48,51.52,27.66,62.7,9.64,0,2.55,8.88,48.95,70.54,29.46,94.67,69.25,30.75,5.33,46.92,266,3.74,97.71,93.31,98.88,94.49,12.32,5.8,10,"Comercio Menudeo",70,"Industria Manufacturera",20,"Esparcimiento, Culturales, Deportivos",10,,,,
"Eduardo Guerra",12999,49.72,50.28,26.35,64.01,7.98,1.66,2.6,5.41,54.24,65.61,34.39,89.26,64.13,35.87,10.74,63.84,3237,4.02,99.81,99.6,99.63,98.61,44.31,27.34,444,"Comercio Menudeo",36.26,"Otros servicios, excepto Gobierno",20.5,"Preparación de Alimentos y Bebidas",14.41,"Industria Manufacturera",11.94,"Salud",3.83
"Ejido Ana",2572,49.51,50.49,31.52,62.94,5.04,0.5,2.44,4.57,48.5,74.88,25.12,91.19,73.14,26.86,8.81,65.72,625,4.12,99.46,98.11,95.52,97.71,39.5,15.76,101,"Comercio Menudeo",36.63,"Otros servicios, excepto Gobierno",19.8,"Preparación de Alimentos y Bebidas",13.86,"Industria Manufacturera",8.91,"Educativos",7.92
"Ejido El Águila",1684,50.3,49.7,33.86,59.81,5.09,1.24,2.61,9.7,49.19,74.53,25.47,88.63,72.4,27.6,11.37,65.52,408,4.13,99.71,96.43,96.93,98.41,34.96,10.33,46,"Comercio Menudeo",39.13,"Otros servicios, excepto Gobierno",21.74,"Industria Manufacturera",15.22,"Educativos",8.7,"Preparación de Alimentos y Bebidas",4.35
"Ejido El Tajito",2252,50.04,49.96,28.83,65.46,5.17,0.54,2.37,3.49,52.18,70.83,29.17,92.5,70.06,29.94,7.5,62.92,522,4.31,99.78,99.59,99.01,99.01,42.89,18.91,112,"Comercio Menudeo",34.82,"Otros servicios, excepto Gobierno",29.46,"Preparación de Alimentos y Bebidas",8.93,"Industria Manufacturera",8.04,"Comercio Mayoreo",7.14
"Ejido Ignacio Allende",1584,50.21,49.79,28.82,65.13,5.53,0.52,2.52,2.91,56.22,70.92,29.08,89.19,69.04,30.96,10.81,70.35,394,4.02,99.01,98.75,95.7,96.97,49,38.96,70,"Comercio Menudeo",28.57,"Preparación de Alimentos y Bebidas",18.57,"Otros servicios, excepto Gobierno",15.71,"Inmobiliarios",12.86,"Industria Manufacturera",7.14
"Ejido La Concha",3586,50.41,49.59,31.7,63.15,4.89,0.26,2.44,4.92,50.11,71.1,28.9,91.02,69.41,30.59,8.98,65.6,852,4.21,99.79,96.55,94.88,98.83,48.17,22.15,89,"Comercio Menudeo",48.31,"Otros servicios, excepto Gobierno",14.61,"Preparación de Alimentos y Bebidas",7.87,"Industria Manufacturera",7.87,"Educativos",5.62
"Ejido La Joya",3054,47.64,52.36,30.8,62.64,6.41,0.15,2.61,4.4,45.43,73.39,26.61,88.78,72.86,27.14,11.22,72.44,753,4.06,98.71,97.25,96.81,95.93,47.95,48.63,66,"Comercio Menudeo",48.48,"Otros servicios, excepto Gobierno",15.15,"Preparación de Alimentos y Bebidas",10.61,"Industria Manufacturera",10.61,"Educativos",6.06
"Ejido La Libertad",289,49.94,50.06,27.21,65.52,7.19,0.08,2.5,7.9,49.99,71.98,28.02,95.39,71.76,28.24,4.61,68.07,70,4.13,100,98.28,99.77,96.85,48.2,17.89,7,"Educativos",28.57,"Otros servicios, excepto Gobierno",28.57,"Comercio Menudeo",14.29,"Inmobiliarios",14.29,"Industria Manufacturera",14.29
"Ejido La Partida",4010,49.41,50.59,29.48,64.1,6.23,0.19,2.45,4.02,47.25,72.11,27.89,88.29,71.73,28.27,11.71,74.17,987,4.06,99.36,98.34,94.89,98.72,49.57,28.62,149,"Comercio Menudeo",46.31,"Otros servicios, excepto Gobierno",15.44,"Preparación de Alimentos y Bebidas",15.44,"Industria Manufacturera",8.05,"Salud",4.03
