"Colonia","Población total","Porcentaje de población masculina","Porcentaje de población femenina","Porcentaje de población de 0 a 14 años","Porcentaje de población de 15 a 64 años","Porcentaje de población de 65 y más años","Porcentaje de población no especificada","Fecundidad promedio","Porcentaje de población con discapacidad","Población Económicamente Activa","Población Económicamente Activa masculina","Población Económicamente Activa femenina","Población Ocupada","Población Ocupada masculina","Población Ocupada femenina","Población Desocupada","Derechohabiencia","Hogares","Ocupación por Vivienda","Viviendas con Electricidad","Viviendas con Agua","Viviendas con Drenaje","Viviendas con Televisión","Viviendas con Automóvil","Viviendas con Computadora","Total Actividades Económicas","Primer actividad nombre","Primer actividad porcentaje","Segunda actividad nombre","Segunda actividad porcentaje","Tercera actividad nombre","Tercera actividad porcentaje","Cuarta actividad nombre","Cuarta actividad porcentaje","Quinta actividad nombre","Quinta actividad porcentaje"
"Torreón Jardín",6784,46.57,53.43,11.93,65.49,15.79,6.79,1.97,4.91,53.6,58.18,41.82,95.15,58.09,41.91,4.85,76.56,1988,3.41,99.58,99.43,99.27,98.81,92.54,82.53,202,"Salud",27.23,"Comercio Menudeo",15.35,"Otros servicios, excepto Gobierno",11.39,"Educativos",10.89,"Preparación de Alimentos y Bebidas",10.89
"Torreón Residencial",5599,47.48,52.52,16.81,75.01,7.09,1.09,1.7,2.1,54.93,56.36,43.64,93.6,56.12,43.88,6.4,76.37,1607,3.48,100,100,99.96,99.27,87.32,77.88,172,"Comercio Menudeo",23.84,"Otros servicios, excepto Gobierno",17.44,"Preparación de Alimentos y Bebidas",16.86,"Industria Manufacturera",9.88,"Salud",9.3
"Torreón Viejo",476,47.35,52.65,32.01,59.6,8.39,0,2.42,11.45,55.62,65.97,34.03,99.47,65.79,34.21,0.53,45.31,124,3.84,98.07,98.06,98.89,96.41,6.87,8.23,11,"Otros servicios, excepto Gobierno",45.45,"Comercio Menudeo",36.36,"Inmobiliarios",9.09,"Industria Manufacturera",9.09,,
"Torreón y Anexas",988,50.1,49.9,27.94,62.04,9.72,0.3,2.63,4.22,53.17,71.96,28.04,76.73,67.28,32.72,23.27,59.01,242,4.08,99.17,98.35,99.17,96.69,15.59,15.86,14,"Comercio Menudeo",50,"Educativos",21.43,"Salud",7.14,"Manejo de Residuos",7.14,"Otros servicios, excepto Gobierno",7.14
"UIA - Mosed - Las Acacias",0,,,,,,,,,,,,,,,,,0,,,,,,,,4,"Educativos",75,"Comercio Menudeo",25,,,,,,
"Universidad",287,47.39,52.61,32.4,63.41,2.09,2.1,2.09,0.36,46.26,70,30,93.35,68.97,31.03,6.65,55.05,72,3.99,100,97.22,95.83,97.22,48.09,17.82,11,"Comercio Menudeo",27.27,"Preparación de Alimentos y Bebidas",27.27,"Otros servicios, excepto Gobierno",18.18,"Educativos",9.09,"Industria Manufacturera",9.09
"Universidad Agraria Antonio Narro",3,47.61,52.39,27.3,65.53,6.4,0.77,2.41,6.23,54.55,67.07,32.93,90.5,65.48,34.52,9.5,70.48,0,,,,,,,,11,"Preparación de Alimentos y Bebidas",63.64,"Educativos",9.09,"Otros servicios, excepto Gobierno",9.09,"Profesionales, Científicos, Técnicos",9.09,"Comercio Mayoreo",9.09
"UVM - Escuela Carlos Pereyra",0,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
"Valle Dorado",3485,48.44,51.56,21.61,69.93,6.66,1.8,2.03,2.91,57.78,56.64,43.36,91.19,55.62,44.38,8.81,75.38,981,3.55,99.8,100,100,99.39,75.54,60.65,69,"Comercio Menudeo",34.78,"Preparación de Alimentos y Bebidas",21.74,"Otros servicios, excepto Gobierno",17.39,"Industria Manufacturera",5.8,"Salud",4.35
"Valle Oriente",5641,48.45,51.55,22.92,71.41,4.61,1.06,2.21,8.43,57.14,63.7,36.3,90.86,63.33,36.67,9.14,78.07,1465,3.85,99.93,99.66,99.59,99.52,52.22,37.75,162,"Comercio Menudeo",44.44,"Otros servicios, excepto Gobierno",22.22,"Preparación de Alimentos y Bebidas",14.2,"Industria Manufacturera",5.56,"Educativos",3.7
